reference_id,recieved_at,university,caller_name,outcome_1,remark,campaign_id
357588,2023-01-05 17:19:00,Illinois Institute of Technology,Isha,Not connected,,IANF23
348521,2023-01-05 17:20:00,Illinois Institute of Technology,Isha,Not connected,,IANF23
346422,2023-01-05 17:23:00,Illinois Institute of Technology,Shailja,Will Submit the docx,pf of his parents can be shown as source of funds ????,IANF23
355177,2023-01-05 17:25:00,Illinois Institute of Technology,Shailja,Not connected,,IANF23
352522,2023-01-05 17:25:00,Illinois Institute of Technology,Isha,Not connected,,IANF23
361584,2023-01-05 17:27:00,Illinois Institute of Technology,Shailja,Will Submit the docx,,IANF23
352498,2023-01-05 17:28:00,Illinois Institute of Technology,Shailja,Not connected,,IANF23
344799,2023-01-05 17:29:00,Illinois Institute of Technology,Shailja,Not connected,,IANF23
352448,2023-01-05 17:30:00,Illinois Institute of Technology,Isha,Not interested,got admitted in another university,IANF23
364032,2023-01-05 17:31:00,Illinois Institute of Technology,Shailja,Will Submit the docx,,IANF23
348573,2023-01-05 17:32:00,Illinois Institute of Technology,Isha,Will Submit the docx,within 1-2 weeks,IANF23
348067,2023-01-05 17:33:00,Illinois Institute of Technology,Shailja,Not connected,,IANF23
358723,2023-01-05 17:34:00,Illinois Institute of Technology,Shailja,Not connected,,IANF23
345801,2023-01-05 17:35:00,Illinois Institute of Technology,Shailja,Not connected,,IANF23
363685,2023-01-05 17:36:00,Illinois Institute of Technology,Isha,Not connected,,IANF23
350100,2023-01-05 17:37:00,Illinois Institute of Technology,Shailja,Not connected,,IANF23
346180,2023-01-05 17:38:00,Illinois Institute of Technology,Isha,Not connected,,IANF23
359889,2023-01-05 17:38:00,Illinois Institute of Technology,Shailja,Not connected,,IANF23
362325,2023-01-05 17:39:00,Illinois Institute of Technology,Shailja,Reschedule,,IANF23
346287,2023-01-05 17:39:00,Illinois Institute of Technology,Isha,Not connected,,IANF23
351294,2023-01-05 17:41:00,Illinois Institute of Technology,Isha,Not connected,,IANF23
352490,2023-01-05 17:43:00,Illinois Institute of Technology,Shailja,Not interested,another uni,IANF23
343827,2023-01-05 17:44:00,Illinois Institute of Technology,Shailja,Not connected,,IANF23
358174,2023-01-05 17:45:00,Illinois Institute of Technology,Shailja,Not connected,,IANF23
357988,2023-01-05 17:46:00,Illinois Institute of Technology,Shailja,Not connected,,IANF23
358126,2023-01-05 17:47:00,Illinois Institute of Technology,Shailja,Not connected,,IANF23
362775,2023-01-05 17:52:00,Illinois Institute of Technology,Shailja,Will Submit the docx,"which letter is req : imprincipal sanction letter or sanction letter from bank , plz revert to his mail",IANF23
